401 	 Q0 	 FBIS3-18024          	 0       	 66.3055 	 RUN
401 	 Q0 	 FBIS3-17460          	 1       	 63.0670 	 RUN
401 	 Q0 	 FBIS3-20740          	 2       	 61.2243 	 RUN
401 	 Q0 	 FBIS4-46935          	 3       	 61.0732 	 RUN
401 	 Q0 	 FBIS3-7981           	 4       	 60.3253 	 RUN
401 	 Q0 	 FBIS4-18182          	 5       	 59.6980 	 RUN
401 	 Q0 	 FBIS4-19524          	 6       	 59.5997 	 RUN
401 	 Q0 	 FBIS4-43868          	 7       	 59.0198 	 RUN
401 	 Q0 	 FBIS4-63224          	 8       	 58.6207 	 RUN
401 	 Q0 	 FBIS3-42872          	 9       	 58.5402 	 RUN
401 	 Q0 	 FBIS3-4201           	 10      	 58.3350 	 RUN
401 	 Q0 	 FBIS3-59436          	 11      	 57.7293 	 RUN
401 	 Q0 	 FBIS4-8586           	 12      	 57.0696 	 RUN
401 	 Q0 	 FBIS3-59247          	 13      	 57.0499 	 RUN
401 	 Q0 	 FT924-4470           	 14      	 56.9209 	 RUN
401 	 Q0 	 FBIS3-36375          	 15      	 56.6578 	 RUN
401 	 Q0 	 FBIS3-44782          	 16      	 56.3478 	 RUN
401 	 Q0 	 FBIS4-64883          	 17      	 56.1706 	 RUN
401 	 Q0 	 FBIS4-20148          	 18      	 56.0808 	 RUN
401 	 Q0 	 FBIS4-55980          	 19      	 56.0774 	 RUN
401 	 Q0 	 FBIS3-30533          	 20      	 55.9945 	 RUN
401 	 Q0 	 FBIS4-66081          	 21      	 55.9017 	 RUN
401 	 Q0 	 FBIS3-30726          	 22      	 55.8240 	 RUN
401 	 Q0 	 FT934-12743          	 23      	 55.7434 	 RUN
401 	 Q0 	 FBIS4-43047          	 24      	 55.5023 	 RUN
401 	 Q0 	 FBIS3-31672          	 25      	 55.4885 	 RUN
401 	 Q0 	 FBIS3-38976          	 26      	 55.4632 	 RUN
401 	 Q0 	 FBIS3-20188          	 27      	 55.1777 	 RUN
401 	 Q0 	 FBIS3-36960          	 28      	 55.1246 	 RUN
401 	 Q0 	 FBIS3-37086          	 29      	 55.0277 	 RUN
401 	 Q0 	 FBIS4-65434          	 30      	 54.9314 	 RUN
401 	 Q0 	 FBIS4-62149          	 31      	 54.6805 	 RUN
401 	 Q0 	 FBIS3-26069          	 32      	 54.5998 	 RUN
401 	 Q0 	 FBIS4-56375          	 33      	 54.2349 	 RUN
401 	 Q0 	 FBIS4-18659          	 34      	 54.1066 	 RUN
401 	 Q0 	 FBIS4-45046          	 35      	 54.0251 	 RUN
401 	 Q0 	 FT923-2968           	 36      	 53.7753 	 RUN
401 	 Q0 	 FBIS3-31659          	 37      	 53.5185 	 RUN
401 	 Q0 	 FBIS3-49035          	 38      	 53.4786 	 RUN
401 	 Q0 	 FBIS3-59055          	 39      	 53.4365 	 RUN
401 	 Q0 	 FBIS3-22431          	 40      	 53.3120 	 RUN
401 	 Q0 	 FBIS4-10777          	 41      	 53.2053 	 RUN
401 	 Q0 	 FBIS3-39554          	 42      	 53.1816 	 RUN
401 	 Q0 	 FBIS3-41386          	 43      	 53.1816 	 RUN
401 	 Q0 	 FT933-803            	 44      	 53.1540 	 RUN
401 	 Q0 	 FBIS4-19134          	 45      	 53.0670 	 RUN
401 	 Q0 	 FBIS3-61173          	 46      	 52.8670 	 RUN
401 	 Q0 	 FBIS4-42985          	 47      	 52.7739 	 RUN
401 	 Q0 	 FBIS3-42766          	 48      	 52.7478 	 RUN
401 	 Q0 	 FBIS3-58219          	 49      	 52.7323 	 RUN
401 	 Q0 	 FBIS3-14832          	 50      	 52.6197 	 RUN
401 	 Q0 	 FBIS4-42750          	 51      	 52.4793 	 RUN
401 	 Q0 	 FBIS4-40113          	 52      	 52.3661 	 RUN
401 	 Q0 	 FBIS3-17036          	 53      	 52.2686 	 RUN
401 	 Q0 	 FBIS3-18003          	 54      	 52.1701 	 RUN
401 	 Q0 	 FT944-8162           	 55      	 52.1588 	 RUN
401 	 Q0 	 FBIS3-57781          	 56      	 52.1195 	 RUN
401 	 Q0 	 FT923-4063           	 57      	 51.9645 	 RUN
