351 	 Q0 	 FT934-4848           	 0       	 116.8261 	 RUN
351 	 Q0 	 FT944-15849          	 1       	 105.0758 	 RUN
351 	 Q0 	 FT932-16710          	 2       	 102.9535 	 RUN
351 	 Q0 	 FT921-2097           	 3       	 101.7880 	 RUN
351 	 Q0 	 FT921-6603           	 4       	 101.3831 	 RUN
351 	 Q0 	 FT922-15099          	 5       	 97.1945 	 RUN
351 	 Q0 	 FT934-4856           	 6       	 97.1468 	 RUN
351 	 Q0 	 FBIS4-25661          	 7       	 93.9731 	 RUN
351 	 Q0 	 FT941-9999           	 8       	 93.4713 	 RUN
351 	 Q0 	 FBIS3-26572          	 9       	 91.0726 	 RUN
351 	 Q0 	 FT921-8458           	 10      	 88.3048 	 RUN
351 	 Q0 	 FT921-8241           	 11      	 85.9015 	 RUN
351 	 Q0 	 FT922-14936          	 12      	 84.0823 	 RUN
351 	 Q0 	 FBIS4-28898          	 13      	 83.8838 	 RUN
351 	 Q0 	 FT931-932            	 14      	 82.8521 	 RUN
351 	 Q0 	 FBIS4-49987          	 15      	 81.9469 	 RUN
351 	 Q0 	 FT931-16104          	 16      	 79.6323 	 RUN
351 	 Q0 	 FT922-8324           	 17      	 79.1440 	 RUN
351 	 Q0 	 FT932-10353          	 18      	 78.8260 	 RUN
351 	 Q0 	 FT932-6577           	 19      	 78.4094 	 RUN
351 	 Q0 	 FT931-10913          	 20      	 78.1871 	 RUN
351 	 Q0 	 LA121089-0199        	 21      	 77.6288 	 RUN
351 	 Q0 	 FBIS4-33167          	 22      	 75.8541 	 RUN
351 	 Q0 	 FBIS4-44559          	 23      	 75.6009 	 RUN
351 	 Q0 	 FBIS4-44591          	 24      	 75.6009 	 RUN
351 	 Q0 	 FBIS3-7559           	 25      	 75.5431 	 RUN
351 	 Q0 	 FT934-16774          	 26      	 75.2567 	 RUN
351 	 Q0 	 FT932-9729           	 27      	 73.7510 	 RUN
351 	 Q0 	 FT941-12959          	 28      	 73.5894 	 RUN
351 	 Q0 	 FT933-16835          	 29      	 72.9452 	 RUN
351 	 Q0 	 FT923-11890          	 30      	 72.8148 	 RUN
351 	 Q0 	 FT921-14156          	 31      	 72.5353 	 RUN
351 	 Q0 	 FR940922-2-00078     	 32      	 72.2143 	 RUN
351 	 Q0 	 FT944-11847          	 33      	 72.0152 	 RUN
351 	 Q0 	 FT943-7424           	 34      	 71.9459 	 RUN
351 	 Q0 	 FT931-16423          	 35      	 71.8831 	 RUN
351 	 Q0 	 FT941-13429          	 36      	 71.7953 	 RUN
351 	 Q0 	 FBIS3-59016          	 37      	 71.7953 	 RUN
351 	 Q0 	 FT942-3662           	 38      	 71.3030 	 RUN
351 	 Q0 	 FT933-8945           	 39      	 71.1750 	 RUN
351 	 Q0 	 FT924-15463          	 40      	 71.0427 	 RUN
351 	 Q0 	 FT941-4859           	 41      	 71.0405 	 RUN
351 	 Q0 	 FT921-9842           	 42      	 70.6141 	 RUN
351 	 Q0 	 FT942-12805          	 43      	 70.4070 	 RUN
351 	 Q0 	 FT933-14160          	 44      	 70.2807 	 RUN
351 	 Q0 	 FT933-3483           	 45      	 70.1229 	 RUN
351 	 Q0 	 FT931-7638           	 46      	 69.6949 	 RUN
351 	 Q0 	 FT944-11191          	 47      	 69.5201 	 RUN
351 	 Q0 	 FT932-4035           	 48      	 69.4904 	 RUN
351 	 Q0 	 FBIS4-6355           	 49      	 69.1286 	 RUN
351 	 Q0 	 FBIS4-52579          	 50      	 69.1107 	 RUN
351 	 Q0 	 FT923-1456           	 51      	 69.0879 	 RUN
351 	 Q0 	 FT944-10523          	 52      	 68.8208 	 RUN
351 	 Q0 	 FT942-7547           	 53      	 68.8068 	 RUN
351 	 Q0 	 FT942-2207           	 54      	 68.6780 	 RUN
351 	 Q0 	 FBIS3-40704          	 55      	 68.5563 	 RUN
351 	 Q0 	 LA050390-0241        	 56      	 68.4354 	 RUN
351 	 Q0 	 FT941-10165          	 57      	 68.3407 	 RUN
351 	 Q0 	 FT921-10970          	 58      	 68.3085 	 RUN
351 	 Q0 	 LA021690-0066        	 59      	 68.0296 	 RUN
351 	 Q0 	 FBIS4-66370          	 60      	 67.9581 	 RUN
351 	 Q0 	 FT944-4279           	 61      	 67.5211 	 RUN
351 	 Q0 	 FT942-8064           	 62      	 67.3831 	 RUN
351 	 Q0 	 FT941-17534          	 63      	 67.3319 	 RUN
351 	 Q0 	 FT944-6105           	 64      	 67.0788 	 RUN
351 	 Q0 	 FT941-7149           	 65      	 66.9094 	 RUN
351 	 Q0 	 FT934-13954          	 66      	 66.8310 	 RUN
351 	 Q0 	 FBIS3-60134          	 67      	 66.7875 	 RUN
351 	 Q0 	 FT942-660            	 68      	 66.5167 	 RUN
351 	 Q0 	 FBIS4-11052          	 69      	 66.4783 	 RUN
351 	 Q0 	 FR940208-2-00055     	 70      	 66.3032 	 RUN
351 	 Q0 	 FT931-14246          	 71      	 66.2955 	 RUN
351 	 Q0 	 FT941-15936          	 72      	 66.2920 	 RUN
351 	 Q0 	 FBIS4-49041          	 73      	 65.5151 	 RUN
351 	 Q0 	 FT944-7828           	 74      	 65.2282 	 RUN
351 	 Q0 	 FT924-9877           	 75      	 65.1782 	 RUN
351 	 Q0 	 FT923-12202          	 76      	 65.0345 	 RUN
351 	 Q0 	 LA103090-0123        	 77      	 64.9808 	 RUN
351 	 Q0 	 FT921-13645          	 78      	 64.8623 	 RUN
351 	 Q0 	 FT944-1204           	 79      	 64.7389 	 RUN
351 	 Q0 	 FT943-3061           	 80      	 64.6922 	 RUN
351 	 Q0 	 FT924-12286          	 81      	 64.4993 	 RUN
351 	 Q0 	 FT943-5294           	 82      	 64.4099 	 RUN
351 	 Q0 	 FT934-13429          	 83      	 64.2832 	 RUN
351 	 Q0 	 FT933-4879           	 84      	 64.2391 	 RUN
351 	 Q0 	 FT944-3682           	 85      	 64.2199 	 RUN
351 	 Q0 	 FBIS4-50786          	 86      	 64.0506 	 RUN
351 	 Q0 	 FT911-5079           	 87      	 63.7420 	 RUN
351 	 Q0 	 FBIS4-66185          	 88      	 63.7320 	 RUN
351 	 Q0 	 LA011889-0121        	 89      	 63.6910 	 RUN
351 	 Q0 	 FT931-719            	 90      	 63.6782 	 RUN
351 	 Q0 	 FT933-10580          	 91      	 63.5832 	 RUN
351 	 Q0 	 FT944-10008          	 92      	 63.5605 	 RUN
351 	 Q0 	 FT944-3703           	 93      	 63.5377 	 RUN
351 	 Q0 	 FT933-2250           	 94      	 63.5226 	 RUN
351 	 Q0 	 FT944-14933          	 95      	 63.4753 	 RUN
351 	 Q0 	 FT941-12534          	 96      	 63.4387 	 RUN
351 	 Q0 	 FT931-11701          	 97      	 63.4217 	 RUN
351 	 Q0 	 FBIS4-6602           	 98      	 63.3576 	 RUN
351 	 Q0 	 FT932-13583          	 99      	 63.0898 	 RUN
351 	 Q0 	 FT933-4873           	 100     	 63.0897 	 RUN
351 	 Q0 	 FT944-12532          	 101     	 63.0511 	 RUN
351 	 Q0 	 FT931-4561           	 102     	 63.0393 	 RUN
351 	 Q0 	 FT934-5307           	 103     	 63.0101 	 RUN
351 	 Q0 	 FT922-3165           	 104     	 63.0077 	 RUN
351 	 Q0 	 FT943-16277          	 105     	 62.8679 	 RUN
351 	 Q0 	 FBIS3-20634          	 106     	 62.8179 	 RUN
351 	 Q0 	 FT941-1843           	 107     	 62.7840 	 RUN
351 	 Q0 	 FT933-5785           	 108     	 62.7491 	 RUN
351 	 Q0 	 FT921-1282           	 109     	 62.7140 	 RUN
351 	 Q0 	 FBIS3-59836          	 110     	 62.6883 	 RUN
351 	 Q0 	 FT933-8983           	 111     	 62.5305 	 RUN
351 	 Q0 	 FT933-2824           	 112     	 62.4200 	 RUN
351 	 Q0 	 LA092290-0078        	 113     	 62.3900 	 RUN
351 	 Q0 	 FR940727-2-00015     	 114     	 62.3848 	 RUN
351 	 Q0 	 FT932-9438           	 115     	 62.3665 	 RUN
351 	 Q0 	 FT923-5903           	 116     	 62.3256 	 RUN
351 	 Q0 	 FR940831-2-00096     	 117     	 62.2669 	 RUN
351 	 Q0 	 LA111389-0074        	 118     	 62.2591 	 RUN
351 	 Q0 	 FT931-8557           	 119     	 62.1897 	 RUN
351 	 Q0 	 FT922-6599           	 120     	 62.1096 	 RUN
351 	 Q0 	 LA101489-0005        	 121     	 61.9810 	 RUN
351 	 Q0 	 FBIS4-51793          	 122     	 61.9631 	 RUN
351 	 Q0 	 FT943-339            	 123     	 61.7494 	 RUN
351 	 Q0 	 FBIS4-20717          	 124     	 61.5530 	 RUN
351 	 Q0 	 FT942-1252           	 125     	 61.5286 	 RUN
351 	 Q0 	 FT934-504            	 126     	 61.4922 	 RUN
351 	 Q0 	 FR940607-2-00068     	 127     	 61.4823 	 RUN
351 	 Q0 	 FT931-13992          	 128     	 61.4467 	 RUN
351 	 Q0 	 FT931-14052          	 129     	 61.4329 	 RUN
351 	 Q0 	 FBIS4-27350          	 130     	 61.4281 	 RUN
351 	 Q0 	 FT924-8993           	 131     	 61.3273 	 RUN
351 	 Q0 	 FT923-2214           	 132     	 61.3195 	 RUN
351 	 Q0 	 FT933-14760          	 133     	 61.2900 	 RUN
351 	 Q0 	 FBIS3-3891           	 134     	 61.2827 	 RUN
351 	 Q0 	 FBIS3-3104           	 135     	 61.2503 	 RUN
351 	 Q0 	 LA111390-0087        	 136     	 61.2452 	 RUN
351 	 Q0 	 FT921-9198           	 137     	 61.1153 	 RUN
351 	 Q0 	 FT921-6669           	 138     	 60.8761 	 RUN
351 	 Q0 	 FT931-6029           	 139     	 60.8369 	 RUN
351 	 Q0 	 FT932-8287           	 140     	 60.8360 	 RUN
351 	 Q0 	 FT922-3472           	 141     	 60.7552 	 RUN
351 	 Q0 	 FT924-12062          	 142     	 60.7552 	 RUN
351 	 Q0 	 FBIS4-37695          	 143     	 60.6774 	 RUN
351 	 Q0 	 FBIS4-50873          	 144     	 60.6708 	 RUN
351 	 Q0 	 FT933-14170          	 145     	 60.6674 	 RUN
